tweet,label
يا امة ضحكت من جهلها الامم,0
والله انك مهزله,0
ساعات اللى فى السر هو اللى بيخلى الناس تحبك فى العلن من غير ما يكونوا عارفين الا انهم بيحبوك من غير سبب,1
لا كرامه في الحب والغرام,1
ابلعن وإلديتس ي الهبــلاا,0
يا رب ارزقنا الفرح والسعادة,1
لا يغير الله ما بقوم حتى يغيروا ما بانفسهم,1
الله الله عليك يا استاذ عمر و بارك الله لك و بارك عليك و جزاك الله عنا خيرا كثير,1
الاشغال,0
قمة البلاغة,1
مثال جميل جدا عبرة لكل من يحمل رسالة الاسلام,1
مين بشار العاهة هاد الي بهدد، اي عند الجد والله للنساء والبنات تتطلعن قبل الرجال في هالحالة ونلعن ابو الساعة اللي طلعت بشار وغيره شو هالحكي، الاردن قوي بجيشة وقائده فعلاا هززلت قال سوريا قال ولا النعامة او رقبة عالية بدهها قص,0
اللهم اجعلنا ممن يتمتعون بروح و ريحان,1
ان شاء الله وربنا يعيننا,1
للبرنامج التافه الي يسمح لهذا الشي,0
و مفيش احلى من قضاء ربنا,1
رعب وخوف عاوجهك ياجبان,0
المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه و ستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتورة,0
سيد شوكت بحب احكيلك انو حنضل نشحد بسبب المفاعل للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضا بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل,0
اللهم ارزقنا السلامة و العافية في ديننا و دنيانا,1
يشم الطيب ويتعطر يا دكتور عمر,1
بدعى على طول بأن الله يرزقنى الخشوع,1
أحلى تخلف,0
شنو السالفه يعني اتقارنون القران الكريم ويه نجوه كرم هاي العرمه لا الله اله الله,0
شو هالمنشور الوسخ,0
الغباء واضح,0
عين العقل و ربي,1
صدقت يا رب إجعلنا راضين بقدرك,1
الحمد لله أكسجين يعيد للصدر أنفاسه ، ف تجدها ب الصوت السعيد و الصوت المتئاكل من البكاء,1
يلعن شرف خواتك,0
يا رب قويني علي نفسي,1
والغناء تجد لك مليون وكلهم زبالة,0
